sample_id,eEF1A1,eIF2α,GAPDH,P-eIF2α,eEF1A1_over_GAPDH,eIF2α_phospho_relative_level,eIF2α_over_GAPDH,level_int
mock,7852653.2,1505260.8,1753385.2,23863.4,4.47856705987937,0.0158533325254999,0.858488368671071,0
S1,7068139.5,1520193.7,1911909.6,63489.1,3.69690047060802,0.0417638225970809,0.795117980473554,1
S2,7300015.5,1712982.6,2200171.4,83409.8,3.31793036669779,0.048692730445715,0.778567797036176,2
S3,7091466.3,1581238,2263381.8,75534.3,3.13312862195852,0.0477690897891399,0.698617440504293,3
S4,6849627.8,1551507.6,2061859.1,72499,3.32206395674661,0.0467280985281671,0.752479934249629,4
S5,7048498.2,1565911.4,1798539.7,65957.8,3.91901174046923,0.0421210293251585,0.870657122553369,5
