sample_id,eEF1A1,eIF2α,GAPDH,P-eIF2α,eEF1A1_over_GAPDH,eIF2α_phospho_relative_level,eIF2α_over_GAPDH,level_int
mock,4475791.051,1234662.117,2257867.083,20833.294,1.98230935943894,0.016873680428959,0.546826749145711,0
S1,4234433.714,1185171.703,2244082.752,40917.343,1.88693296190888,0.034524400891809,0.52813190687542,1
S2,4315134.565,1244488.744,2790827.254,57207.175,1.54618475895105,0.0459684149622168,0.445921094620355,2
S3,3946753.999,1141184.831,2734310.19,50718.395,1.44341853145784,0.0444436287814625,0.417357487520463,3
S4,3836930.939,1056827.052,2606602.346,42658.09,1.47200471329584,0.0403643055117404,0.405442377362151,4
S5,3947430.433,1104778.203,2033584.723,40873.269,1.94111924049894,0.0369968097569354,0.543266376121375,5
